ranks,channel_info,influence_score,total_post,followers_clean,avg_likes_clean,60_eng_rate_clean,post_avg_like_clean,total_likes_clean,country
1,cristiano,92,3300,475800000,475800000,0.000139,6500000.0,29000000000,Spain
2,kyliejenner,91,6900,366200000,366200000,0.000162,5900000.0,57400000000,United States
3,leomessi,90,890,357300000,357300000,0.000124,4400000.0,6000000000,Unknown
4,selenagomez,93,1800,342700000,342700000,9.7e-05,3300000.0,11500000000,United States
5,therock,91,6800,334100000,334100000,2e-05,665300.0,12500000000,United States
6,kimkardashian,91,5600,329200000,329200000,8.8e-05,2900000.0,19900000000,United States
7,arianagrande,92,5000,327700000,327700000,0.00012,3900000.0,18400000000,United States
8,beyonce,92,2000,272800000,272800000,7.6e-05,2000000.0,7400000000,United States
9,khloekardashian,89,4100,268300000,268300000,3.5e-05,926900.0,9800000000,United States
10,justinbieber,91,7400,254500000,254500000,5.9e-05,1500000.0,13900000000,Canada
11,kendalljenner,90,660,254000000,254000000,0.000204,5100000.0,3700000000,United States
12,natgeo,91,10000,237000000,237000000,7e-06,159300.0,3000000000,United States
13,nike,90,950,234100000,234100000,8e-06,181800.0,313600000,United States
14,taylorswift,91,530,222200000,222200000,0.000101,2300000.0,1300000000,United States
15,jlo,89,3200,220400000,220400000,6.2e-05,1400000.0,5300000000,United States
16,virat.kohli,87,1400,211800000,211800000,9.6e-05,2000000.0,4900000000,Unknown
17,nickiminaj,90,6400,201600000,201600000,5.3e-05,1000000.0,13500000000,United States
18,kourtneykardash,89,4400,195200000,195200000,6.7e-05,1300000.0,7700000000,United States
19,mileycyrus,89,1200,181500000,181500000,5.1e-05,913600.0,1600000000,Unknown
20,neymarjr,90,5300,177100000,177100000,0.000109,1900000.0,14100000000,Brazil
21,katyperry,92,2000,170300000,170300000,1.6e-05,265100.0,1500000000,Unknown
22,kevinhart4real,88,8200,152000000,152000000,8e-06,115200.0,4300000000,United States
23,zendaya,87,3500,150700000,150700000,0.000317,4800000.0,20600000000,United States
24,iamcardib,75,1600,140500000,140500000,0.00011,1500000.0,5000000000,United States
25,ddlovato,88,80,139100000,139100000,2.7e-05,363400.0,91300000,United States
26,badgalriri,88,4800,135300000,135300000,2e-06,0.0,17900000000,United States
27,kingjames,86,2300,130900000,130900000,9.2e-05,1200000.0,4900000000,Unknown
28,theellenshow,87,10000,125100000,125100000,7e-06,81700.0,4200000000,United States
29,realmadrid,90,6900,123400000,123400000,4.8e-05,588300.0,6800000000,Spain
30,champagnepapi,85,5200,119600000,119600000,0.00011,1300000.0,9000000000,Netherlands
31,chrisbrownofficial,86,7300,118500000,118500000,2.2e-05,255900.0,3400000000,United States
32,fcbarcelona,90,10000,111400000,111400000,6.4e-05,706300.0,11600000000,Unknown
33,billieeilish,73,690,105200000,105200000,0.000502,5200000.0,5900000000,Unknown
34,dualipa,74,1300,85900000,85900000,0.000126,1100000.0,2600000000,United Kingdom
35,gal_gadot,85,1700,85600000,85600000,6.9e-05,586500.0,2300000000,United States
36,vindiesel,88,1800,82300000,82300000,6e-05,482300.0,2500000000,United States
37,nasa,88,3600,81300000,81300000,0.000153,1200000.0,4200000000,United States
38,priyankachopra,85,3600,81100000,81100000,0.0001,802900.0,5600000000,United States
39,lalalalisa_m,70,870,80900000,80900000,0.0009,7200000.0,5100000000,Unknown
40,Shakira,88,2000,76100000,76100000,4.1e-05,304700.0,1900000000,Unknown
41,snoopdogg,86,10000,75300000,75300000,1.7e-05,125800.0,2000000000,Unknown
42,gigihadid,85,3300,75300000,75300000,0.000256,1900000.0,8200000000,United States
43,davidbeckham,86,1500,74900000,74900000,4.6e-05,340900.0,1900000000,United States
44,shraddhakapoor,81,1900,73900000,73900000,0.000117,859900.0,3000000000,Unknown
45,victoriassecret,88,2900,73200000,73200000,4e-06,29800.0,423500000,United States
46,k.mbappe,86,1200,72700000,72700000,0.000216,1600000.0,2800000000,Unknown
47,nehakakkar,84,2300,70400000,70400000,5.4e-05,370100.0,3500000000,India
48,nba,87,12900,70100000,70100000,2.8e-05,196900.0,4800000000,United States
49,shawnmendes,83,2500,69900000,69900000,0.000287,2000000.0,8800000000,Canada
50,jennierubyjane,76,860,68900000,68900000,0.000836,5700000.0,4400000000,Unknown
51,narendramodi,85,540,68900000,68900000,0.000301,2000000.0,1600000000,India
52,aliaabhatt,82,1800,68700000,68700000,0.000314,2100000.0,3300000000,India
53,deepikapadukone,83,260,68400000,68400000,0.000223,1500000.0,419000000,India
54,tomholland2013,77,1200,67700000,67700000,0.001083,7300000.0,6600000000,Unknown
55,ronaldinho,78,2900,67700000,67700000,4.9e-05,325700.0,2600000000,Brazil
56,emmawatson,87,340,67300000,67300000,1e-06,0.0,639000000,United States
57,bts.bighitofficial,78,1200,66900000,66900000,0.00054,3600000.0,4900000000,Uruguay
58,katrinakaif,85,1000,66300000,66300000,0.000225,1500000.0,1700000000,India
59,marvel,82,7000,66200000,66200000,5.1e-05,339000.0,2300000000,Turkey
60,justintimberlake,87,780,65900000,65900000,3e-05,189400.0,470700000,United States
61,camila_cabello,77,2900,65000000,65000000,0.000219,1400000.0,5400000000,United States
62,willsmith,82,1400,63900000,63900000,2e-06,0.0,1900000000,United States
63,raffinagita1717,83,17500,63500000,63500000,5.8e-05,366600.0,6800000000,Indonesia
64,anitta,82,5100,63100000,63100000,6.9e-05,426200.0,4400000000,United States
65,sooyaaa__,82,830,62900000,62900000,0.000943,5900000.0,3800000000,Unknown
66,maluma,84,8200,62800000,62800000,0.000112,696300.0,9800000000,Colombia
67,akshaykumar,85,1900,62800000,62800000,0.000101,624900.0,2900000000,Unknown
68,jacquelinef143,85,2400,62700000,62700000,0.000115,718800.0,2800000000,India
69,psg,86,10000,61900000,61900000,5.2e-05,322200.0,5000000000,France
70,roses_are_rosie,82,820,61800000,61800000,0.000972,6000000.0,3800000000,Unknown
71,manchesterunited,85,9900,59600000,59600000,4.1e-05,241600.0,3800000000,United Kingdom
72,anushkasharma,85,1200,59500000,59500000,0.000234,1400000.0,2200000000,Unknown
73,whinderssonnunes,79,2700,58700000,58700000,5.8e-05,323100.0,4400000000,Brazil
74,9gag,86,10000,58100000,58100000,4.4e-05,248600.0,6700000000,United States
75,marcelotwelve,86,2700,58100000,58100000,7.8e-05,448300.0,1900000000,Brazil
76,milliebobbybrown,80,280,57600000,57600000,0.000863,5000000.0,1100000000,United States
77,karimbenzema,42,2000,56900000,56900000,0.000162,918900.0,1800000000,Spain
78,chrishemsworth,86,880,55900000,55900000,0.000369,2100000.0,2500000000,Australia
79,karolg,83,3300,55600000,55600000,0.001025,5700000.0,10100000000,India
80,paulpogba,80,1300,55200000,55200000,8.5e-05,462600.0,1800000000,France
81,iamzlatanibrahimovic,86,870,55100000,55100000,0.000153,837100.0,1300000000,Unknown
82,leonardodicaprio,86,1700,54600000,54600000,2e-05,107600.0,669300000,Unknown
83,juventus,87,10000,54500000,54500000,2.5e-05,135500.0,1900000000,Unknown
84,zacefron,86,660,54500000,54500000,0.000818,4400000.0,1500000000,United States
85,bellahadid,79,3200,54100000,54100000,0.000206,1100000.0,3600000000,United Kingdom
86,tatawerneck,86,5600,53900000,53900000,5.1e-05,266500.0,5400000000,Brazil
87,beingsalmankhan,76,1200,53500000,53500000,0.000133,693900.0,1600000000,India
88,robertdowneyjr,86,420,53400000,53400000,0.000205,1100000.0,1300000000,United States
89,sunnyleone,84,4600,53400000,53400000,5.7e-05,301300.0,3500000000,Unknown
90,ladygaga,83,3600,53200000,53200000,0.000102,531600.0,5100000000,United States
91,dishapatani,74,2100,53000000,53000000,0.000185,971700.0,3400000000,United States
92,sergioramos,87,2200,52800000,52800000,0.000106,557900.0,2500000000,Unknown
93,jbalvin,87,10000,52800000,52800000,6.6e-05,340500.0,8800000000,Unknown
94,mosalah,22,840,52500000,52500000,0.000218,1100000.0,1500000000,Unknown
95,ayutingting92,85,10000,52400000,52400000,1.1e-05,56300.0,1500000000,Indonesia
96,433,79,10300,51200000,51200000,0.000152,774200.0,8900000000,Netherlands
97,hudabeauty,82,2400,50800000,50800000,4e-06,16800.0,453600000,United States
98,adele,84,420,50700000,50700000,0.000382,1900000.0,2000000000,United States
99,michelleobama,85,600,50700000,50700000,0.000122,611200.0,421700000,Unknown
100,kritisanon,76,2700,50200000,50200000,0.000121,604400.0,2400000000,India
101,jamesrodriguez10,86,1100,49900000,49900000,7.5e-05,363900.0,1500000000,Colombia
102,krisjenner,80,6400,49700000,49700000,9.1e-05,452900.0,2300000000,United States
103,thv,83,60,49300000,49300000,0.00258,12600000.0,987400000,Unknown
104,lelepons,81,2500,49200000,49200000,0.000355,1700000.0,6100000000,United States
105,charlidamelio,80,150,49100000,49100000,0.000328,1600000.0,654400000,Unknown
106,gucci,86,8900,49000000,49000000,1.5e-05,72400.0,1000000000,Italy
107,prillylatuconsina96,84,6500,48900000,48900000,2.7e-05,131800.0,2400000000,Indonesia
108,louisvuitton,82,6500,48700000,48700000,8e-06,40500.0,824000000,France
109,paulodybala,85,1300,48300000,48300000,0.000288,1400000.0,2300000000,Unknown
110,blackpinkofficial,85,1400,48200000,48200000,0.000277,1300000.0,3000000000,Unknown
111,dovecameron,85,170,48200000,48200000,0.000175,841400.0,283000000,United States
112,garethbale11,86,980,48100000,48100000,0.000143,681300.0,753100000,Unknown
113,jokowi,85,3500,47700000,47700000,4.1e-05,189600.0,1600000000,Unknown
114,nusr_et,81,2300,47300000,47300000,2.9e-05,133000.0,1700000000,United Arab Emirates
115,harrystyles,57,590,46900000,46900000,0.000638,2900000.0,2800000000,United States
116,haileybieber,85,2100,46900000,46900000,0.000347,1600000.0,4200000000,Unknown
117,vanessahudgens,84,4200,46800000,46800000,6.3e-05,292900.0,2700000000,United States
118,5-Minute Crafts GIRLY,85,10000,46500000,46500000,3e-06,12400.0,1600000000,United States
119,zayn,82,160,46500000,46500000,0.000881,4000000.0,773500000,United States
120,larissamanoela,85,5200,46500000,46500000,5.7e-05,259400.0,3000000000,Brazil
121,travisscott,78,3200,46200000,46200000,0.000571,2600000.0,9600000000,United States
122,thenotoriousmma,82,3200,45900000,45900000,6.9e-05,311500.0,3500000000,United States
123,daddyyankee,80,20,45900000,45900000,0.0001,455300.0,18300000,Puerto Rico
124,natgeotravel,82,16900,45800000,45800000,1.2e-05,52800.0,3200000000,United States
125,nikefootball,85,1800,45400000,45400000,4.4e-05,199800.0,784000000,United States
126,stephencurry30,84,1100,45400000,45400000,0.000276,1200000.0,1200000000,Unknown
127,vancityreynolds,86,680,44800000,44800000,0.000261,1200000.0,925700000,Unknown
128,maisa,42,1500,44500000,44500000,6.7e-05,294100.0,820100000,Brazil
129,luissuarez9,85,970,44200000,44200000,9.6e-05,414800.0,782500000,Unknown
130,gusttavolima,76,4900,43900000,43900000,7.1e-05,303900.0,2300000000,Brazil
131,jannatzubair29,84,1600,43800000,43800000,0.000218,944300.0,2200000000,Unknown
132,varundvn,84,1900,43800000,43800000,0.000148,640500.0,2000000000,India
133,hrithikroshan,85,580,43700000,43700000,0.000382,1600000.0,949900000,C??te d'Ivoire
134,nickyjampr,81,10000,43400000,43400000,3.3e-05,139300.0,3800000000,Colombia
135,buzzfeedtasty,85,8900,43200000,43200000,2e-06,7700.0,580700000,Spain
136,brunamarquezine,84,3000,43100000,43100000,0.000105,444200.0,2900000000,United States
137,caradelevingne,86,4400,42900000,42900000,4.3e-05,181000.0,3500000000,United States
138,kapilsharma,83,950,42200000,42200000,0.000149,624500.0,710700000,Unknown
139,badbunnypr,83,10,42100000,42100000,0.001309,5400000.0,67500000,Unknown
140,britneyspears,80,3000,42100000,42100000,5.5e-05,221700.0,1600000000,Turkey
141,j.m,83,20,41900000,41900000,0.002641,11000000.0,368100000,Unknown
142,mariliamendoncacantora,73,1400,41800000,41800000,0.000198,818600.0,1500000000,Brazil
143,norafatehi,83,1700,41600000,41600000,0.000176,727500.0,2300000000,Anguilla
144,theweeknd,83,670,41500000,41500000,0.000397,1600000.0,767000000,Unknown
145,dior,85,9700,41500000,41500000,1.6e-05,63600.0,863000000,Unknown
146,ranveersingh,85,1800,40800000,40800000,7.6e-05,299300.0,1800000000,Switzerland
147,marinaruybarbosa,81,2100,40700000,40700000,1e-06,0.0,1200000000,Brazil
148,jenniferaniston,85,90,40700000,40700000,0.000188,731000.0,452000000,Unknown
149,addisonraee,85,300,40100000,40100000,0.000249,994400.0,957900000,Unknown
150,andresiniesta8,85,2000,40000000,40000000,4.1e-05,161700.0,500500000,Spain
151,princessyahrini,81,4500,40000000,40000000,2.2e-05,87400.0,529900000,Indonesia
152,liverpoolfc,75,10000,39900000,39900000,4.2e-05,162900.0,3500000000,United Kingdom
153,teddysphotos,80,2300,39900000,39900000,4.6e-05,181100.0,1700000000,United States
154,worldstar,78,11600,39200000,39200000,2.3e-05,84400.0,1800000000,United States
155,natashawilona12,84,1200,39200000,39200000,5.9e-05,227700.0,563900000,Unknown
156,mahi7781,58,100,39100000,39100000,1.7e-05,0.0,439400000,Unknown
157,georginagio,74,730,39100000,39100000,0.000856,3300000.0,1600000000,Unknown
158,cznburak,80,1800,39000000,39000000,0.000101,383300.0,1400000000,Unknown
159,chrissyteigen,79,5100,38900000,38900000,4.3e-05,162100.0,3200000000,United States
160,ruben_onsu,75,13400,38800000,38800000,1.3e-05,49100.0,1900000000,Indonesia
161,wizkhalifa,80,500,38700000,38700000,3.1e-05,115700.0,199800000,United States
162,hm,83,7300,38500000,38500000,6e-06,22400.0,644100000,Sweden
163,anushkasen0408,85,5300,38300000,38300000,0.000175,658300.0,3700000000,Unknown
164,prattprattpratt,84,730,38300000,38300000,0.0001,363800.0,594700000,Unknown
165,marvelstudios,83,2700,38100000,38100000,0.000158,555900.0,1600000000,Unknown
166,wesleysafadao,80,8900,37400000,37400000,2e-06,0.0,2300000000,Unknown
167,parineetichopra,84,1300,37400000,37400000,6.8e-05,246900.0,672100000,Unknown
168,rkive,83,110,37000000,37000000,0.0,0.0,1200000000,Unknown
169,laudyacynthiabella,76,380,36900000,36900000,1.2e-05,43400.0,66700000,Indonesia
170,antogriezmann,83,870,36500000,36500000,5.7e-05,203600.0,955400000,France
171,gisel_la,85,9900,36500000,36500000,1e-05,33400.0,1500000000,Unknown
172,eminem,84,660,36400000,36400000,0.000269,962700.0,730100000,United States
173,mercedesbenz,77,10000,36000000,36000000,1.8e-05,64600.0,2000000000,British Virgin Islands
174,colesprouse,81,1200,35900000,35900000,0.000234,834500.0,2600000000,Unknown
175,nattinatasha,47,30,35900000,35900000,8e-05,285900.0,18700000,Czech Republic
176,shahidkapoor,82,1100,35600000,35600000,0.000254,780000.0,1500000000,Unknown
177,tigerjackieshroff,83,2100,35600000,35600000,0.00012,422900.0,2200000000,India
178,kimberly.loaiza,78,590,35500000,35500000,0.000523,1800000.0,1600000000,Mexico
179,barackobama,81,660,35400000,35400000,0.000119,411500.0,739500000,United States
180,sachintendulkar,76,1000,35300000,35300000,0.000203,664500.0,810000000,Unknown
181,simonemendes,72,4400,35000000,35000000,6.5e-05,222900.0,1900000000,Brazil
182,ivetesangalo,84,7600,34800000,34800000,3.6e-05,121100.0,1700000000,Brazil
183,lunamaya,83,4100,34800000,34800000,1.7e-05,58600.0,589600000,Unknown
184,toni.kr8s,83,940,34700000,34700000,0.000168,533500.0,561300000,Unknown
185,dannapaola,68,1900,34700000,34700000,0.000349,1200000.0,2800000000,Mexico
186,paollaoliveirareal,84,4600,34700000,34700000,5.7e-05,192300.0,1700000000,Unknown
187,blakelively,80,110,34600000,34600000,2e-06,0.0,350900000,United States
188,adidasoriginals,83,150,34200000,34200000,2e-05,66800.0,21200000,Unknown
189,disney,77,7300,34200000,34200000,4.4e-05,132000.0,1400000000,United States
190,shaymitchell,83,6300,34100000,34100000,7.3e-05,247500.0,4600000000,United States
191,bmw,79,9300,33700000,33700000,2.3e-05,76500.0,2200000000,Germany
192,danbilzerian,84,1400,33600000,33600000,0.000358,1200000.0,2800000000,Canada
193,khabib_nurmagomedov,63,4500,33500000,33500000,6.7e-05,220700.0,3100000000,Russia
194,zidane,41,370,33500000,33500000,0.000161,532700.0,391900000,France
195,sonamkapoor,75,4800,33300000,33300000,6.3e-05,209200.0,1300000000,India
196,iambeckyg,71,2300,33200000,33200000,0.00014,464700.0,1400000000,United States
197,nancyajram,81,3800,33200000,33200000,6.4e-05,208000.0,1500000000,France
198,luansantana,79,770,33200000,33200000,2.6e-05,82600.0,149200000,Brazil
199,nickjonas,78,2300,33000000,33000000,0.000142,467700.0,1700000000,United States
200,raisa6690,80,4200,32800000,32800000,3e-05,97400.0,969100000,Indonesia
